"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208"
"1",-Inf,-Inf,-Inf,-Inf,-Inf,4.08921978629485,-Inf,2.77152565738652,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,1.45365319829965,-Inf,-Inf,-Inf,-Inf,-Inf,0.352612704203936,-Inf,-Inf,-Inf,2.13769865728145,-Inf,0.0923056707840261,-1.79779762223813,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0.458605162850256,-Inf,-Inf,-Inf,-2.08527612983361,-Inf,-Inf,-0.691268945548173,-Inf,-Inf,-Inf,-Inf,1.6820046460611,-Inf,-2.38070329538309,1.03347479707243,-Inf,-Inf,-Inf,-Inf,-Inf,-0.561472285160462,-Inf,-Inf,-Inf,-Inf,-Inf,1.4173833027804,-Inf,-Inf,-Inf,3.12334946609889,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-4.5031462304614,-Inf,-Inf,-Inf,-Inf,1.26223360581328,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0.0959799554545289,-Inf,-Inf,-Inf,-Inf,3.11361910382353,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-0.602287434716566,-Inf,-Inf,-Inf,-Inf,-Inf,1.84591537077664,-Inf,-Inf,-Inf,-4.71235569927482,-Inf,-Inf,-0.336145270080598,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-1.72398634132595,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,5.40994818271922,-Inf,-4.72295309664448,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"2",-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0.347553469489171,-Inf,-Inf,-Inf,-0.0639424321672407,0.766894289396046,-Inf,-Inf,3.10487264654191,-1.8461290695436,-Inf,-0.287959444249115,-Inf,-Inf,-Inf,-Inf,-Inf,-5.65499173905836,-Inf,-Inf,-0.0428031223253093,-5.90178839046621,-Inf,-Inf,-Inf,-Inf,-0.156196955355047,2.20483774570829,-Inf,3.27105862752594,-Inf,-Inf,-Inf,-5.42615073805792,-Inf,-Inf,-Inf,-Inf,-1.66730805007759,-Inf,2.84232400973442,3.89544636902334,-Inf,-Inf,1.10486900784858,-Inf,-Inf,-Inf,-1.3130438993803,-Inf,0.103459790423551,-Inf,-Inf,-0.012691598696983,-Inf,-Inf,3.04931901098934,-Inf,-Inf,-Inf,3.45715040264128,-Inf,-5.94921764824627,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0.584134793819391,-6.56600414315651,-5.80914299031403,-Inf,-Inf,-Inf,3.0228382725588,-Inf,-Inf,-Inf,-Inf,0.85796943037767,4.36600052485027,0.838431239251337,-Inf,-Inf,-Inf,-Inf,2.06199027526664,-Inf,0.0492233084441434,4.90765232021509,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,3.71176555802281,-0.689493862062043,-Inf,-Inf,-Inf,-4.82831336230237,-Inf,0.709216229069805,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0.787957235322588,-Inf,-Inf,-Inf,-6.48040409455076,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,1.35988873860293,-Inf,-Inf,-Inf,-Inf,-Inf,2.62057195150816,-0.484322163944715,-Inf,-Inf,-1.93350783172996,-Inf,2.15015626326506,-Inf,-2.10291489786548,-Inf,-Inf,-Inf,0.485004920120103,-Inf,-3.63344474722584,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,1.42098000348278,-Inf,-Inf,4.38196566081501,-Inf,-Inf,-Inf,-Inf,-Inf,-6.35926977491357,-Inf,-Inf,-Inf,-Inf,-Inf,0.374455990000149,-Inf,-Inf,-Inf,-Inf,-Inf,1.41835488581157,-Inf,-Inf,-Inf,-9.93435921620322,-4.13650495199384,-5.60714217984718,1.27346043340017,-Inf,1.96581277135183,-Inf,-Inf,-Inf,-3.72970061530121,2.27624163100133,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0.238386780726904,-Inf,-Inf,-Inf,-Inf
"3",-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,3.20873659617496,-Inf,-Inf,0.262313467023477,1.11375771547288,-Inf,-Inf,5.99035868586878,-Inf,-Inf,-Inf,-Inf,-Inf,1.90133737916339,-Inf,-Inf,-4.1043948980756,-Inf,-Inf,5.44571831812482,-Inf,-Inf,-Inf,-Inf,-Inf,4.15641613669745,3.65401793405739,3.45631731179786,3.45714391591703,3.21686420291279,-0.191559689240626,1.64464210863321,-3.73015905331925,-Inf,0.227398087924377,-Inf,-Inf,-4.71978505807881,-Inf,0.704042609221906,5.83411254016349,-Inf,-Inf,3.11813352393276,-Inf,-Inf,-Inf,-Inf,-Inf,5.16736778104652,-Inf,-Inf,0.90428292586986,-Inf,-Inf,6.54114312410417,-Inf,-Inf,-Inf,4.21429443377823,-Inf,-3.30671736452935,-Inf,-Inf,-Inf,-Inf,-6.67133229097676,-Inf,-0.848577879261934,-Inf,-Inf,-Inf,-Inf,-Inf,2.50233131307867,-Inf,-Inf,-Inf,0.447261987273924,0.541674079483775,-0.840217696009138,0.720416957213228,-Inf,-Inf,-Inf,-Inf,4.97850066325478,-4.9675916093584,-6.68056632136921,4.45159793883639,-Inf,1.83524990030258,-Inf,-Inf,-Inf,-Inf,3.22207071576472,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-0.548283318616421,-Inf,-Inf,-Inf,-Inf,0.804822714450534,-Inf,-Inf,-Inf,-0.1654896907838,-Inf,-Inf,-2.27112353902646,-Inf,-Inf,-9.47528295745848,-3.73730108619966,0.281580571344323,-Inf,-Inf,-Inf,-0.855416470631999,-Inf,5.68989143941676,1.89173903349932,-Inf,-Inf,-2.04021313624845,-Inf,-Inf,-Inf,-Inf,0.932557704338027,-Inf,-Inf,-0.0952132844988266,-Inf,6.28356795603086,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-1.0338860663975,-Inf,-Inf,-Inf,-Inf,-2.36398252585202,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,3.11085488452801,-Inf,-Inf,-Inf,-Inf,1.32175583998232,2.63023001180397,-Inf,-Inf,-Inf,-Inf,2.74427003149202,0.856116008838085,-0.793851884681578,-Inf,0.720047111327685,-Inf,-Inf,-Inf,0.948796643430414,7.72492156598286,-Inf,-Inf,-Inf,-3.9792317551216,-Inf,-Inf,-Inf,5.46022488417166,-Inf,-Inf,-0.0786371101553982,2.53831420089217
"4",-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-2.99173945547202,-Inf,-Inf,-4.67423734594865,3.26462174096534,-Inf,-Inf,1.72525653099714,-Inf,-Inf,-2.02817520765571,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-2.35646066596336,-2.46863967732413,-Inf,-Inf,-Inf,-Inf,-Inf,-1.120099412332,2.45703172902195,-Inf,3.75550719755594,-Inf,-Inf,-Inf,-Inf,-Inf,0.338264201521212,-7.41857090279813,-Inf,-5.30707964341691,-Inf,3.85781409634285,4.41805126019916,-Inf,-Inf,-0.643121855706109,-Inf,-1.35285958503365,-Inf,2.25519994133212,-Inf,1.18245392511161,-Inf,0.919485622770674,0.49826564442033,-Inf,-Inf,2.92216430941585,-Inf,-Inf,-Inf,2.35345433248303,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,3.46665298215388,-Inf,-Inf,-Inf,-Inf,-Inf,-3.24848281827092,-Inf,-Inf,-Inf,3.1666599998169,-3.35741947216627,-2.65289817371008,-0.356056549469726,-Inf,-Inf,-Inf,-Inf,4.71767281591957,-Inf,-2.01337668598373,2.42354467807093,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-5.42749391244017,-Inf,-Inf,-Inf,-Inf,-4.35462705508055,-Inf,-Inf,-Inf,-Inf,-0.0625139053892423,-Inf,-Inf,-Inf,-2.10245636255023,-Inf,-Inf,-Inf,-Inf,-Inf,-8.4275353194857,-Inf,-1.52059010979008,-Inf,-Inf,-Inf,-Inf,-Inf,2.13843648334747,-1.3940632610246,-Inf,-Inf,-6.06912299937873,-Inf,-5.05276986842261,-Inf,-3.44514926919134,-Inf,-Inf,-Inf,2.06044741495897,-Inf,0.221424634823368,-3.34670919637809,-Inf,-Inf,-Inf,3.62650020008034,-Inf,-Inf,-1.60411211967875,-Inf,-4.08791149881725,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,2.35343019195703,-Inf,-Inf,-Inf,-Inf,-Inf,-2.08467907363588,-Inf,-Inf,-Inf,-Inf,-Inf,4.0362294556034,2.04463009341516,-Inf,2.07937166423846,-Inf,-Inf,-Inf,-1.66600826392249,2.61885484095661,-Inf,-Inf,-3.11134292055622,1.97156397200882,-Inf,-Inf,-Inf,4.16708064137986,-Inf,-Inf,-Inf,-Inf
"5",-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"6",4.08921978629485,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,2.9233067314746,-Inf,-Inf,1.25811499225983,1.46431946556943,-Inf,-Inf,3.8858768339327,-Inf,-Inf,-Inf,-Inf,-Inf,4.18663050696737,-Inf,-Inf,2.77379424530477,2.70984192833322,-2.32571043439578,4.45740192843622,3.66021680195993,-Inf,-Inf,-Inf,-Inf,3.80487667392776,3.07457441468199,3.63182485841411,1.02757128547633,1.62527189073663,-Inf,-Inf,5.07670139788512,-Inf,-Inf,4.22857733382287,4.13906295591037,-Inf,-Inf,-Inf,3.86158576557397,-Inf,3.26903184820812,1.7787471246922,4.98873727299504,-Inf,4.83494450509166,-Inf,-Inf,2.17583306843593,-Inf,-Inf,0.575949773389721,-Inf,-Inf,3.37257360215058,-Inf,-Inf,-Inf,4.84464839736119,-Inf,-Inf,-Inf,1.18454530665984,4.12244599233298,-Inf,-Inf,-Inf,-0.559485896371697,-0.714159446093552,-Inf,4.46473432658185,1.2201512250534,3.74676440811243,3.7926762387815,3.84990714727129,-Inf,4.09664358411153,0.711968934800533,2.15247160273893,3.39124431380524,0.469532268172557,3.29483636567075,-Inf,-1.70616028891893,-Inf,4.76465222881002,3.61043671580651,-Inf,5.01904100028749,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,1.66392609771817,-Inf,-Inf,-Inf,2.64834265863993,-Inf,-Inf,1.93655437713124,-Inf,-Inf,-Inf,-Inf,-0.610816876047787,-Inf,-Inf,-Inf,-Inf,4.46869962108254,-Inf,-Inf,-Inf,-6.14411701647989,-Inf,-Inf,-Inf,-Inf,-1.26336901428259,-Inf,-Inf,-0.65839327490781,-Inf,-Inf,-Inf,2.64795335665346,-Inf,5.43609778177697,3.99880565626194,-Inf,-Inf,-0.211539761445444,-Inf,-0.582082305739385,2.93708039210509,1.72390880231988,2.94485994318023,-Inf,-Inf,-Inf,-Inf,-0.0190049657127845,-Inf,-Inf,-Inf,-Inf,-Inf,-0.373965714304871,-Inf,2.54121955814075,-Inf,2.75752584456274,2.03442730845204,-Inf,-Inf,-Inf,1.79110925788647,-Inf,-Inf,-Inf,-Inf,3.23269588636906,-Inf,-Inf,1.26174289938411,-Inf,-Inf,-Inf,-Inf,-Inf,2.92396314110421,-Inf,-Inf,-Inf,-Inf,4.31471052627652,0.630942999396221,-2.57702193869581,-Inf,-Inf,0.256144964653574,-Inf,-Inf,1.08299090776515,7.13578527216963,-Inf,-0.58565639553797,7.21628127462859,-Inf,-Inf,-Inf,-Inf,-2.81507877386073,2.43103987139067,-Inf,-Inf,-6.30875944992747
"7",-Inf,0.347553469489171,-Inf,-Inf,-Inf,-Inf,-Inf,1.71132640759855,-Inf,-Inf,6.43124090073362,4.06247026462241,-Inf,0.574168242597373,5.86091271119245,-Inf,-Inf,4.686613665968,-0.0192806835325275,5.256333238679,-Inf,-Inf,-Inf,-Inf,-Inf,-2.30643047701535,5.24623955398024,-8.03886803234134,-1.76611452975711,-Inf,-Inf,-Inf,4.48557325622002,5.6393271856103,3.52636052461616,6.41876550822497,1.48667914332196,-Inf,-Inf,-1.838143760931,-Inf,-Inf,-4.68855136014463,-Inf,2.82181108466476,-Inf,2.63905732961526,7.23388586748128,1.71141184007069,-Inf,4.53973494291556,-Inf,-Inf,-Inf,3.26499576048175,-Inf,5.77734134608171,-Inf,1.17040567948199,4.15344755636187,-Inf,-Inf,7.07537774823802,-Inf,-Inf,-Inf,7.39155086049626,-Inf,-2.46435924108683,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,3.51148398619658,-Inf,-6.90775527898214,-Inf,-Inf,-Inf,6.18384880467899,-Inf,-Inf,-Inf,-Inf,5.05184628174887,7.28880405299818,3.51814338562375,7.03878354138854,4.48584630133337,-Inf,-Inf,6.93494934569166,-3.03173195580153,4.29764561344522,9.28646365488345,-Inf,5.07230909082635,-Inf,-Inf,-Inf,-Inf,7.49200737130244,3.66356164612965,-Inf,4.21897079636048,-Inf,2.9835585738471,-Inf,3.81592083207971,-Inf,-Inf,-Inf,-Inf,-1.54875023378226,5.9138515935231,-Inf,-Inf,-0.303811454381665,1.92596979798994,-Inf,-Inf,-Inf,1.5547307130882,-Inf,-Inf,3.42450367114893,-1.84446799827212,4.49478618483992,0.562728299043286,-Inf,5.54750216210341,-Inf,-Inf,-Inf,-1.29087233302536,-Inf,6.33470454496779,4.11601015899488,-Inf,-Inf,4.72893564675691,7.99663273757512,5.88833321164739,-1.95412217563517,-5.02068562994976,6.07958073024116,-Inf,-2.83457477037661,3.05654164065691,-Inf,4.45724553416212,-2.52198565802942,-Inf,5.18907449094098,-Inf,4.65618558676679,2.83321334405622,0.488581241811783,6.95660782215834,2.02282793528771,-1.55971009276292,7.59162626840566,-Inf,-Inf,-Inf,-2.53535268215078,-Inf,3.45707160090671,-Inf,-Inf,-Inf,-Inf,-Inf,4.5002494624964,-Inf,-1.41227987915242,4.23604743137385,-Inf,-Inf,6.49510240063395,-Inf,-Inf,-Inf,-Inf,-Inf,0.950748582120423,6.31156891517548,-Inf,6.4236613257256,3.8634080789037,2.13111207740293,-Inf,2.36454529311682,7.62579992919659,-Inf,-Inf,-Inf,-1.01032672380075,-Inf,-Inf,3.99635312438931,4.03816743147226,-Inf,-Inf,-0.399511935953572,-0.847349261708229
"8",2.77152565738652,-Inf,3.20873659617496,-2.99173945547202,-Inf,2.9233067314746,1.71132640759855,-Inf,-Inf,-1.18482398548717,5.38435606230328,4.00677120917168,-Inf,-Inf,6.15331762997908,-2.26915031690781,-0.069564463385909,4.02234180843777,3.9400894324957,-1.64196110413966,1.29505588068562,-Inf,-Inf,-3.7214026458195,-2.43041846450393,5.81031430405817,7.7764284788849,0.691175237557716,0.19352522730128,-2.10291489786548,-1.11535161267241,-3.86800612001137,5.16759875719418,5.42945834190034,6.45125115994312,5.79258549846549,1.94767685893252,-0.636957791628572,1.15364010105455,5.10887771612788,-Inf,-5.20300718674371,3.03980322449484,5.19619050809184,2.38777147235477,-Inf,3.84871721749602,7.55962327719406,-Inf,0.373699205344513,5.04825960547289,2.71378704722072,3.92479904317885,4.16183497224556,4.9951533989785,-Inf,6.50529604869334,-Inf,-2.98380370268872,4.06541322475002,-Inf,-Inf,6.64129182430272,-Inf,-Inf,1.37568831533267,5.74684662566389,-Inf,-0.0707444045257577,-1.89979021344176,-1.88519141402061,0.0158733491562902,-Inf,-Inf,-4.17338776956255,3.88132072716702,0.251585458215642,-3.17485893945143,3.01872588267941,-0.916290731874155,-2.19529733166778,4.78924154431935,1.60735574622978,-Inf,0.436382210742886,2.61319453798952,4.76328541089638,4.07234360637136,3.08138859537091,6.33460308590838,2.61082685903616,-1.31239355328036,4.45703206113784,6.91847244445534,1.65912291421215,1.05125859228464,6.63275867137975,-Inf,1.48684080771946,-Inf,-1.38349827381789,-Inf,-1.23546347141731,5.13320684648444,2.77258872223978,-1.6194882482876,1.1362933556358,1.61131614744587,2.89271345841854,-0.818483671871243,1.17634463720846,-Inf,-Inf,-Inf,-Inf,-0.892720187591429,3.13183972030012,-Inf,-4.3236294328931,-6.90775527898214,6.16889143620299,-Inf,-Inf,-2.17771611094818,2.36901158080043,-2.7015712350045,-2.53577898016176,-2.06751297081456,-1.19567400151124,0.420025259439494,1.80942130961544,-Inf,5.02160035745896,-Inf,-6.11929791861787,-4.73300355749798,2.00243899968256,0.8754687373539,7.37081800076418,4.45381017528568,-5.42615073805792,-Inf,2.53241027243197,0.504767309182027,2.20332071363693,3.3268724629003,5.54482972778312,3.44021935711969,-Inf,-3.36520302143878,4.12353922050138,0.491398126099892,5.09561349447128,5.42629932701804,-Inf,1.38903809364095,1.87376947127763,4.49447993694493,6.32962999229931,-2.99573227355399,3.8545036323326,-4.24749574171628,1.54171780207154,4.59045646819937,-Inf,-Inf,-6.4782156354328,1.50361062118683,-Inf,-5.7138328105097,-Inf,-Inf,0.157362658752759,-Inf,-Inf,4.64866157450388,-3.51660823317348,-3.97722841555342,3.53865509743201,-4.73300355749798,1.14039382268306,4.80163848163342,-Inf,-Inf,-Inf,-7.51023942464484,2.70165647137178,3.53007420858304,5.2675792541936,-Inf,4.34511132204149,1.7087418183236,-3.86800612001137,-Inf,6.00358183534288,8.0602305575404,-Inf,-0.985284496218648,5.11210464899795,-3.92207334128165,-Inf,-Inf,-5.7138328105097,4.0510020327096,4.71496764384378,1.24074822248855,-4.8804639777106,1.41599781309333
"9",-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"10",-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-1.18482398548717,-Inf,-Inf,-3.04289851699672,1.5772815955705,-Inf,-Inf,-1.52932905310248,-Inf,-Inf,-Inf,-Inf,-Inf,-3.9954046143672,-Inf,-Inf,-6.50229017087397,-Inf,-Inf,0.0387398283159306,1.00246329048733,-Inf,-Inf,-Inf,-Inf,1.80795756879683,-0.636958169772674,-Inf,-0.58112613555627,-Inf,-Inf,-Inf,-0.999266173310395,-Inf,-Inf,-2.62127635232017,-Inf,-Inf,-Inf,-Inf,1.92124811135467,-Inf,0.770848688223797,0.421655336186884,-2.71810053695571,-Inf,-Inf,-Inf,-Inf,-0.919056553234174,-Inf,-Inf,2.25491554385099,-Inf,-Inf,0.418403708905884,-Inf,-Inf,-Inf,3.69580814520036,-Inf,-Inf,-Inf,-Inf,0.0695260626486103,-Inf,-Inf,-Inf,0.538270153673184,-1.15536868920859,-Inf,-Inf,-Inf,0.493571218991256,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-3.90199841990618,-1.69700953724233,-Inf,-Inf,-Inf,-Inf,2.11722648903759,1.18300123007741,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-2.96030412771636,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-2.08505728046547,-Inf,-Inf,-Inf,-3.34575340329386,-Inf,-Inf,-Inf,-Inf,-4.1043948980756,-7.52739738337934,-Inf,0.91215410783014,-Inf,-Inf,-Inf,-1.3725413685679,-Inf,0.711970063357306,0.0060657659882023,-Inf,-Inf,-1.49700516407305,-Inf,-Inf,-Inf,-2.3580978029243,-Inf,-Inf,-Inf,-Inf,-Inf,2.25053603940823,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0.735379795686967,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,0.23682552478176,0.150658876285113,-Inf,-1.54155966190636,-Inf,-Inf,-Inf,-Inf,4.38340069022703,-Inf,1.23466533258923,-Inf,-Inf,-Inf,-Inf,-Inf,-0.607520094592508,-Inf,-Inf,-Inf,-2.9962546099479
