ISO,Population,Population_bracket,GDP,GDP_bracket,GDP_per_capita,GDP_per_capita_bracket,GATT
ABW,0.1003,1,2360.0,3,23529.41176470588,9,0
AFG,24.411191,9,7305.5557,5,299.270760693323,2,0
AGO,15.941392,8,32810.672,8,2058.20620934483,5,1
ALB,3.129678,4,8380.3145,6,2677.6922418216827,6,1
AND,0.079826,1,3160.0,4,39586.09976699321,10,0
ANT,0.18265601,2,3810.0,4,20858.881128521312,9,0
ARE,4.533145,5,129701.57,9,28611.829094370463,10,1
ARG,38.747147,9,183193.42,9,4727.920225971735,7,1
ARM,3.0163119,4,4902.7793,5,1625.4218603851943,5,1
ATG,0.082786001,1,875.75134,2,10578.4955115781,8,1
AUS,20.329,8,732779.0,10,36045.993408431306,10,1
AUT,8.2333002,6,306072.88,10,37174.99332770594,10,1
AZE,8.3879995,6,13245.422,6,1579.0918919344238,5,0
BDI,7.5475149,6,795.88287,2,105.44965866844463,1,1
BEL,10.47865,7,370824.28,10,35388.55482337897,10,1
BEN,8.4388533,6,4287.4639,4,508.0623809398369,3,1
BFA,13.227835,7,5697.9756,5,430.75647677794586,2,1
BGD,141.82228,10,60033.523,8,423.30107088956686,2,1
BGR,7.7399998,6,27187.674,7,3512.6194706103224,6,1
BHR,0.72661698,3,12914.439,6,17773.379036641836,9,1
BHS,0.32306299,2,9840.0,6,30458.456414335793,10,0
BIH,3.907074,5,9923.9678,6,2539.9999590486386,6,0
BLR,9.7755919,7,29565.563,7,3024.4268891789557,6,0
BLZ,0.29179999,2,1104.9,2,3786.4977308601005,6,1
BMU,0.06357,1,4870.0,5,76608.4631115306,10,0
BOL,9.1820154,7,9441.2129,6,1028.2288243602816,4,1
BRA,186.40491,10,882474.94,10,4734.18291395865,7,1
BRB,0.26955599,2,3090.5383,4,11465.292609524276,8,1
BRN,0.37381899,2,6399.9883,5,17120.554255416504,9,1
BTN,0.63701302,3,827.50055,2,1299.0323965434802,4,0
BWA,1.764926,4,10445.202,6,5918.209601988979,7,1
CAF,4.0377469,5,1369.1826,3,339.0956971572438,2,1
CAN,32.299,9,1.1138104e6,10,34484.361744945665,10,1
CHE,7.4370999,6,367029.41,10,49351.146943716594,10,1
CHL,16.295101,8,118907.65,9,7297.141024164257,8,1
CHN,1304.5,10,2.2438525e6,10,1720.0862399386738,5,1
CIV,18.153868,8,16054.737,7,884.3700416902888,4,1
CMR,16.321863,8,16874.613,7,1033.8656193842578,4,1
COG,3.998904,5,5971.0698,5,1493.1765803830249,5,1
COL,44.945789,9,122939.94,9,2735.293844769307,6,1
COM,0.60048956,3,387.0372,1,644.5361015102411,3,0
CPV,0.50680703,3,999.33459,2,1971.8246410275722,5,0
CRI,4.3272281,5,19973.051,7,4615.668630918716,7,1
CUB,11.2694,7,42640.0,8,3783.697446181696,6,1
CYP,0.75779998,3,18430.0,7,24320.40180312488,9,1
CZE,10.234092,7,123980.86,9,12114.495355328054,8,1
DEU,82.469398,10,2.794926e6,10,33890.462011132906,10,1
DJI,0.79307801,3,708.84143,2,893.7852532312678,4,1
DMA,0.071999997,1,283.56479,1,3938.4000252111127,7,1
DNK,5.415978,6,258714.36,9,47768.72431904265,10,1
DOM,9.4696007,7,29100.834,7,3073.079311570127,6,1
DZA,32.853798,9,101785.88,9,3098.146521750697,6,0
ECU,13.228423,7,36488.922,8,2758.372785629852,6,1
EGY,74.032883,10,89685.727,8,1211.4309664260948,4,1
ERI,4.4013572,5,969.87097,2,220.3572502590792,1,0
